open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1563667200000,0.00307010,0.00312720,0.00298720,0.00304680,59882988.00000000,1563753599999,182107.79668400,1259,28260290.00000000,85936.66785770,0,2019-07-21,2019-07-21 23:59:59.999
1563753600000,0.00305330,0.00308160,0.00292000,0.00295670,92581872.00000000,1563839999999,278105.88693850,1458,39485392.00000000,118643.42269210,0,2019-07-22,2019-07-22 23:59:59.999
1563840000000,0.00295670,0.00295670,0.00281600,0.00281920,161810410.00000000,1563926399999,464551.60093630,2183,96609156.00000000,277344.39345980,0,2019-07-23,2019-07-23 23:59:59.999
1563926400000,0.00281950,0.00288190,0.00276290,0.00287410,68490381.00000000,1564012799999,192993.79317720,1510,28513143.00000000,80354.70542760,0,2019-07-24,2019-07-24 23:59:59.999
1564012800000,0.00285550,0.00294870,0.00284760,0.00286560,149944114.00000000,1564099199999,432899.45488010,1845,71585309.00000000,206678.29180240,0,2019-07-25,2019-07-25 23:59:59.999
1564099200000,0.00286560,0.00290330,0.00281770,0.00287980,29517748.00000000,1564185599999,84631.76554100,921,13656950.00000000,39211.64673210,0,2019-07-26,2019-07-26 23:59:59.999
1564185600000,0.00289000,0.00296000,0.00275510,0.00280470,86758314.00000000,1564271999999,246314.36100140,1669,48053925.00000000,136783.23586120,0,2019-07-27,2019-07-27 23:59:59.999
1564272000000,0.00279730,0.00281370,0.00272600,0.00279320,49225120.00000000,1564358399999,137249.26739180,1132,22612996.00000000,63163.92277030,0,2019-07-28,2019-07-28 23:59:59.999
1564358400000,0.00278840,0.00288400,0.00276370,0.00276630,65013586.00000000,1564444799999,182414.33849640,1331,32052641.00000000,90060.04667950,0,2019-07-29,2019-07-29 23:59:59.999
1564444800000,0.00276630,0.00288000,0.00274570,0.00278850,60008976.00000000,1564531199999,166683.81361270,1134,38774373.00000000,107773.66987050,0,2019-07-30,2019-07-30 23:59:59.999
1564531200000,0.00279490,0.00287610,0.00278890,0.00285830,58120004.00000000,1564617599999,164406.15939390,1227,26902228.00000000,76102.18096170,0,2019-07-31,2019-07-31 23:59:59.999
1564617600000,0.00285710,0.00306170,0.00282480,0.00290040,85256838.00000000,1564703999999,244823.49642150,1721,45103860.00000000,129715.19793810,0,2019-08-01,2019-08-01 23:59:59.999
1564704000000,0.00290040,0.00292720,0.00286100,0.00289960,64329108.00000000,1564790399999,186215.92535970,1269,28365733.00000000,82145.91837270,0,2019-08-02,2019-08-02 23:59:59.999
1564790400000,0.00289510,0.00294900,0.00287680,0.00289940,54942112.00000000,1564876799999,160178.96651780,1042,27971749.00000000,81589.98883840,0,2019-08-03,2019-08-03 23:59:59.999
1564876800000,0.00289990,0.00299850,0.00284240,0.00292220,88247046.00000000,1564963199999,256618.20612170,1636,43242916.00000000,125944.28597200,0,2019-08-04,2019-08-04 23:59:59.999
1564963200000,0.00291960,0.00319980,0.00291960,0.00304280,213937390.00000000,1565049599999,653683.41621010,3709,112866823.00000000,344834.58090160,0,2019-08-05,2019-08-05 23:59:59.999
1565049600000,0.00304430,0.00308400,0.00291240,0.00295570,128970146.00000000,1565135999999,386490.76986910,2161,66674955.00000000,199533.16908070,0,2019-08-06,2019-08-06 23:59:59.999
1565136000000,0.00295690,0.00303990,0.00287590,0.00298560,116634874.00000000,1565222399999,344429.34927640,2185,57935185.00000000,171072.32307980,0,2019-08-07,2019-08-07 23:59:59.999
1565222400000,0.00299720,0.00299720,0.00285440,0.00296350,72936578.00000000,1565308799999,212916.79999430,1388,37782894.00000000,110320.97397210,0,2019-08-08,2019-08-08 23:59:59.999
1565308800000,0.00297250,0.00297250,0.00283750,0.00291300,53069425.00000000,1565395199999,153392.14165350,1265,24509418.00000000,70987.28454530,0,2019-08-09,2019-08-09 23:59:59.999
1565395200000,0.00292110,0.00294320,0.00280850,0.00285000,40358430.00000000,1565481599999,115277.36449610,1086,17310101.00000000,49469.60902390,0,2019-08-10,2019-08-10 23:59:59.999
1565481600000,0.00285000,0.00289950,0.00282810,0.00288740,48121732.00000000,1565567999999,138096.31268890,985,26626739.00000000,76451.59958690,0,2019-08-11,2019-08-11 23:59:59.999
1565568000000,0.00288930,0.00289990,0.00284550,0.00285160,37974663.00000000,1565654399999,108677.36900650,672,18614453.00000000,53251.86165450,0,2019-08-12,2019-08-12 23:59:59.999
1565654400000,0.00285270,0.00286430,0.00278020,0.00283390,47685418.00000000,1565740799999,134777.44174940,925,24076128.00000000,68051.63785300,0,2019-08-13,2019-08-13 23:59:59.999
1565740800000,0.00283430,0.00283990,0.00270000,0.00271610,89470204.00000000,1565827199999,247232.66912520,1687,48983752.00000000,135540.18572270,0,2019-08-14,2019-08-14 23:59:59.999
1565827200000,0.00272300,0.00276950,0.00255780,0.00259160,83406275.00000000,1565913599999,220382.75176710,1354,44318420.00000000,117282.45719970,0,2019-08-15,2019-08-15 23:59:59.999
1565913600000,0.00258130,0.00271800,0.00251120,0.00265100,71483283.00000000,1565999999999,186165.58025120,1375,34134411.00000000,89124.99760050,0,2019-08-16,2019-08-16 23:59:59.999
1566000000000,0.00264800,0.00266320,0.00257780,0.00262510,48842468.00000000,1566086399999,128498.70447770,925,27953594.00000000,73624.13963050,0,2019-08-17,2019-08-17 23:59:59.999
1566086400000,0.00262540,0.00272140,0.00258700,0.00269500,101432503.00000000,1566172799999,269985.37320270,1432,47621558.00000000,126570.20849300,0,2019-08-18,2019-08-18 23:59:59.999
1566172800000,0.00269220,0.00281460,0.00266760,0.00278160,111202618.00000000,1566259199999,307142.00152090,1670,62623575.00000000,173058.86683130,0,2019-08-19,2019-08-19 23:59:59.999
1566259200000,0.00277870,0.00278500,0.00267980,0.00271200,29889824.00000000,1566345599999,81475.61587400,753,13999582.00000000,38144.18372120,0,2019-08-20,2019-08-20 23:59:59.999
1566345600000,0.00271200,0.00271530,0.00256330,0.00263980,67428707.00000000,1566431999999,176725.53901950,1134,32304205.00000000,84517.60855300,0,2019-08-21,2019-08-21 23:59:59.999
1566432000000,0.00264040,0.00271650,0.00255270,0.00264580,70942538.00000000,1566518399999,185986.43212070,1186,39652676.00000000,104055.05800920,0,2019-08-22,2019-08-22 23:59:59.999
1566518400000,0.00264860,0.00269300,0.00261530,0.00266680,49673949.00000000,1566604799999,131663.61063860,979,24982744.00000000,66133.40736260,0,2019-08-23,2019-08-23 23:59:59.999
1566604800000,0.00266440,0.00267850,0.00256470,0.00262220,61164375.00000000,1566691199999,159646.96800270,1084,26064762.00000000,68080.95582840,0,2019-08-24,2019-08-24 23:59:59.999
1566691200000,0.00262740,0.00266600,0.00258200,0.00262370,59937736.00000000,1566777599999,157023.86002970,1005,30150245.00000000,79021.09472070,0,2019-08-25,2019-08-25 23:59:59.999
1566777600000,0.00261920,0.00270480,0.00259310,0.00264090,75309430.00000000,1566863999999,199016.83012090,1363,39939745.00000000,105636.45490870,0,2019-08-26,2019-08-26 23:59:59.999
1566864000000,0.00263700,0.00264000,0.00257630,0.00259930,57813268.00000000,1566950399999,150603.50901850,1029,29665173.00000000,77288.49562030,0,2019-08-27,2019-08-27 23:59:59.999
1566950400000,0.00260140,0.00260140,0.00247720,0.00249650,73252773.00000000,1567036799999,185903.68283950,1271,39887013.00000000,101190.48536380,0,2019-08-28,2019-08-28 23:59:59.999
1567036800000,0.00249560,0.00249580,0.00233900,0.00242440,101148551.00000000,1567123199999,244083.97181150,1554,52805669.00000000,127275.58677990,0,2019-08-29,2019-08-29 23:59:59.999
1567123200000,0.00244210,0.00249390,0.00238790,0.00244490,37512207.00000000,1567209599999,91452.16573700,661,20265814.00000000,49416.71843980,0,2019-08-30,2019-08-30 23:59:59.999
1567209600000,0.00245170,0.00248780,0.00241180,0.00245280,36338319.00000000,1567295999999,88910.90121700,759,18196773.00000000,44490.52854610,0,2019-08-31,2019-08-31 23:59:59.999
1567296000000,0.00245200,0.00248510,0.00241090,0.00246030,35956148.00000000,1567382399999,87955.06299170,624,15398215.00000000,37721.27646360,0,2019-09-01,2019-09-01 23:59:59.999
1567382400000,0.00246350,0.00261670,0.00243770,0.00258820,53572010.00000000,1567468799999,134993.75090080,784,34330329.00000000,86550.51992610,0,2019-09-02,2019-09-02 23:59:59.999
1567468800000,0.00259100,0.00260540,0.00253130,0.00255930,64679806.00000000,1567555199999,165657.46309550,676,40919056.00000000,104743.91512720,0,2019-09-03,2019-09-03 23:59:59.999
1567555200000,0.00256470,0.00257110,0.00250000,0.00250970,32789886.00000000,1567641599999,83028.12433050,623,18233761.00000000,46212.03663860,0,2019-09-04,2019-09-04 23:59:59.999
1567641600000,0.00252210,0.00252210,0.00245890,0.00249090,44318276.00000000,1567727999999,110317.64782770,610,25318695.00000000,63108.17918650,0,2019-09-05,2019-09-05 23:59:59.999
1567728000000,0.00248970,0.00250540,0.00240000,0.00247000,81836503.00000000,1567814399999,201290.70738950,1064,34315321.00000000,84311.47639500,0,2019-09-06,2019-09-06 23:59:59.999
1567814400000,0.00245040,0.00250700,0.00240290,0.00245420,79415288.00000000,1567900799999,194294.99566820,1016,42597153.00000000,104308.58444560,0,2019-09-07,2019-09-07 23:59:59.999
1567900800000,0.00246500,0.00253060,0.00240000,0.00245850,89538969.00000000,1567987199999,221365.30863160,1243,47136134.00000000,117036.67637600,0,2019-09-08,2019-09-08 23:59:59.999
1567987200000,0.00244530,0.00246920,0.00240000,0.00243510,61000344.00000000,1568073599999,148246.67255900,749,26396847.00000000,64194.40237110,0,2019-09-09,2019-09-09 23:59:59.999
1568073600000,0.00243510,0.00246120,0.00238490,0.00241850,33219768.00000000,1568159999999,80278.78806380,576,8802499.00000000,21371.82271400,0,2019-09-10,2019-09-10 23:59:59.999
1568160000000,0.00241930,0.00243860,0.00236010,0.00238920,52887165.00000000,1568246399999,126276.43752780,822,23445260.00000000,56106.48791510,0,2019-09-11,2019-09-11 23:59:59.999
1568246400000,0.00239120,0.00243100,0.00232650,0.00239280,48542765.00000000,1568332799999,114902.00508490,836,28548489.00000000,67698.09500770,0,2019-09-12,2019-09-12 23:59:59.999
1568332800000,0.00239060,0.00241280,0.00236000,0.00239900,35317492.00000000,1568419199999,84321.87821520,489,20415640.00000000,48776.40008140,0,2019-09-13,2019-09-13 23:59:59.999
1568419200000,0.00240890,0.00243700,0.00237010,0.00241920,33725888.00000000,1568505599999,80951.36274700,592,17475943.00000000,41983.41412980,0,2019-09-14,2019-09-14 23:59:59.999
1568505600000,0.00242330,0.00248510,0.00239000,0.00242600,68647235.00000000,1568591999999,168207.43894370,959,35335324.00000000,86692.36438480,0,2019-09-15,2019-09-15 23:59:59.999
1568592000000,0.00242490,0.00247650,0.00239780,0.00243090,53894420.00000000,1568678399999,131496.90559070,794,32795931.00000000,80182.79238360,0,2019-09-16,2019-09-16 23:59:59.999
1568678400000,0.00243160,0.00262000,0.00241000,0.00259400,135069011.00000000,1568764799999,340342.50030180,2007,71673119.00000000,180451.80563860,0,2019-09-17,2019-09-17 23:59:59.999
1568764800000,0.00259720,0.00281030,0.00255270,0.00270150,344364326.00000000,1568851199999,939384.68120230,4313,160780261.00000000,437178.96221680,0,2019-09-18,2019-09-18 23:59:59.999
1568851200000,0.00270280,0.00273220,0.00254000,0.00270830,161540615.00000000,1568937599999,424854.38581680,3053,82047561.00000000,215620.77498210,0,2019-09-19,2019-09-19 23:59:59.999
1568937600000,0.00270620,0.00270620,0.00261470,0.00264970,70347331.00000000,1569023999999,186885.22901010,1070,35553217.00000000,94424.74376440,0,2019-09-20,2019-09-20 23:59:59.999
1569024000000,0.00264970,0.00266190,0.00253900,0.00257720,76693753.00000000,1569110399999,198082.94653680,1410,40747967.00000000,105373.26890650,0,2019-09-21,2019-09-21 23:59:59.999
1569110400000,0.00257000,0.00259900,0.00251730,0.00256200,92043003.00000000,1569196799999,234727.51371760,1153,36641846.00000000,93417.76682120,0,2019-09-22,2019-09-22 23:59:59.999
1569196800000,0.00256970,0.00257190,0.00244740,0.00244740,76897524.00000000,1569283199999,192843.46304720,1293,38876388.00000000,97502.17848120,0,2019-09-23,2019-09-23 23:59:59.999
1569283200000,0.00244740,0.00247310,0.00193170,0.00219000,155910476.00000000,1569369599999,355810.89378800,2672,70657852.00000000,160866.26885850,0,2019-09-24,2019-09-24 23:59:59.999
1569369600000,0.00218930,0.00222410,0.00206650,0.00217570,110825983.00000000,1569455999999,238611.52978140,1228,59252512.00000000,127545.60108980,0,2019-09-25,2019-09-25 23:59:59.999
1569456000000,0.00216930,0.00223750,0.00201850,0.00213960,204393624.00000000,1569542399999,440500.00958940,3252,87367866.00000000,188901.05750360,0,2019-09-26,2019-09-26 23:59:59.999
1569542400000,0.00213480,0.00219900,0.00209850,0.00217230,88331166.00000000,1569628799999,189407.81588650,1024,42113825.00000000,90339.87645910,0,2019-09-27,2019-09-27 23:59:59.999
1569628800000,0.00217600,0.00223200,0.00214010,0.00219740,75661286.00000000,1569715199999,164946.49130980,806,37003848.00000000,80767.88069470,0,2019-09-28,2019-09-28 23:59:59.999
1569715200000,0.00220330,0.00223990,0.00212350,0.00218540,79511131.00000000,1569801599999,173236.93166260,1077,39809282.00000000,86754.27689140,0,2019-09-29,2019-09-29 23:59:59.999
1569801600000,0.00220300,0.00247330,0.00212640,0.00237470,263988602.00000000,1569887999999,611055.39742840,2920,113818708.00000000,262777.95972010,0,2019-09-30,2019-09-30 23:59:59.999
1569888000000,0.00237910,0.00250010,0.00234730,0.00235030,151860063.00000000,1569974399999,366404.86835360,1975,63798897.00000000,153955.00985580,0,2019-10-01,2019-10-01 23:59:59.999
1569974400000,0.00235610,0.00236920,0.00228090,0.00232300,88034436.00000000,1570060799999,203689.27737430,1232,44212062.00000000,102405.30302310,0,2019-10-02,2019-10-02 23:59:59.999
1570060800000,0.00232300,0.00232500,0.00223530,0.00229770,81022529.00000000,1570147199999,184522.76648850,1075,39396275.00000000,89914.08890170,0,2019-10-03,2019-10-03 23:59:59.999
1570147200000,0.00229800,0.00232500,0.00223980,0.00228930,52314904.00000000,1570233599999,119067.20103930,1186,23017886.00000000,52497.21553610,0,2019-10-04,2019-10-04 23:59:59.999
1570233600000,0.00228820,0.00230510,0.00226140,0.00229220,53899895.00000000,1570319999999,123029.74291550,933,23281345.00000000,53213.05191470,0,2019-10-05,2019-10-05 23:59:59.999
1570320000000,0.00229930,0.00230480,0.00222750,0.00226770,72718151.00000000,1570406399999,165193.87092280,1056,25991148.00000000,58849.22950110,0,2019-10-06,2019-10-06 23:59:59.999
1570406400000,0.00226590,0.00236540,0.00223680,0.00233100,69936960.00000000,1570492799999,161417.54457440,1166,31175619.00000000,72019.69172820,0,2019-10-07,2019-10-07 23:59:59.999
1570492800000,0.00232980,0.00236490,0.00227830,0.00230960,89953557.00000000,1570579199999,207768.84311940,1304,47160671.00000000,108959.26673650,0,2019-10-08,2019-10-08 23:59:59.999
1570579200000,0.00230960,0.00236520,0.00224670,0.00235220,128533706.00000000,1570665599999,298466.54858300,1676,68205157.00000000,158941.23657310,0,2019-10-09,2019-10-09 23:59:59.999
1570665600000,0.00234600,0.00235120,0.00229270,0.00230000,74485978.00000000,1570751999999,172919.97552100,1201,40428413.00000000,93949.65671080,0,2019-10-10,2019-10-10 23:59:59.999
1570752000000,0.00229700,0.00234110,0.00222500,0.00229090,61631506.00000000,1570838399999,140068.52025480,1152,29447646.00000000,67036.45727430,0,2019-10-11,2019-10-11 23:59:59.999
1570838400000,0.00228800,0.00233100,0.00227510,0.00231960,70374904.00000000,1570924799999,162044.58576520,1085,38880487.00000000,89627.30634750,0,2019-10-12,2019-10-12 23:59:59.999
1570924800000,0.00231900,0.00263490,0.00230960,0.00243170,506106744.00000000,1571011199999,1269755.04007100,5970,239922065.00000000,602593.80953310,0,2019-10-13,2019-10-13 23:59:59.999
1571011200000,0.00243120,0.00275000,0.00240670,0.00254150,1281613616.00000000,1571097599999,3277165.76634310,7451,455085703.00000000,1161638.16948230,0,2019-10-14,2019-10-14 23:59:59.999
1571097600000,0.00254820,0.00258000,0.00246520,0.00249640,142270876.00000000,1571183999999,359498.29389660,2048,75553590.00000000,190965.61789250,0,2019-10-15,2019-10-15 23:59:59.999
1571184000000,0.00249570,0.00262280,0.00248510,0.00261620,271043906.00000000,1571270399999,694195.33572530,3538,154292868.00000000,395446.61374450,0,2019-10-16,2019-10-16 23:59:59.999
1571270400000,0.00261170,0.00297400,0.00257780,0.00274050,673256287.00000000,1571356799999,1866457.91999160,9098,350314859.00000000,971676.58056640,0,2019-10-17,2019-10-17 23:59:59.999
1571356800000,0.00273500,0.00286650,0.00263110,0.00269520,262101555.00000000,1571443199999,719205.82735010,3979,132107248.00000000,363277.36351200,0,2019-10-18,2019-10-18 23:59:59.999
1571443200000,0.00269440,0.00279490,0.00264670,0.00271760,103435078.00000000,1571529599999,282136.05367960,1978,48407940.00000000,131975.50970550,0,2019-10-19,2019-10-19 23:59:59.999
1571529600000,0.00271790,0.00275750,0.00264070,0.00271510,113305480.00000000,1571615999999,305690.16497450,2079,58108437.00000000,156893.28501880,0,2019-10-20,2019-10-20 23:59:59.999
1571616000000,0.00270790,0.00295000,0.00257580,0.00268790,287285773.00000000,1571702399999,759359.41429490,4533,140270871.00000000,371095.06087470,0,2019-10-21,2019-10-21 23:59:59.999
1571702400000,0.00268840,0.00272970,0.00250850,0.00253110,948366683.00000000,1571788799999,2480669.55585790,6894,460416017.00000000,1198319.83195380,0,2019-10-22,2019-10-22 23:59:59.999
1571788800000,0.00253860,0.00256500,0.00210000,0.00247460,399964920.00000000,1571875199999,973322.75525590,4450,240546064.00000000,584522.13531570,0,2019-10-23,2019-10-23 23:59:59.999
1571875200000,0.00248050,0.00255000,0.00240000,0.00251830,176236372.00000000,1571961599999,437753.45749390,2560,86681279.00000000,214928.99927150,0,2019-10-24,2019-10-24 23:59:59.999
1571961600000,0.00251830,0.00277990,0.00246520,0.00266940,330206126.00000000,1572047999999,868998.17525940,5006,205470327.00000000,542710.45237300,0,2019-10-25,2019-10-25 23:59:59.999
1572048000000,0.00266940,0.00289800,0.00255770,0.00259250,327792551.00000000,1572134399999,888681.32133060,6416,188167547.00000000,512057.68110570,0,2019-10-26,2019-10-26 23:59:59.999
1572134400000,0.00260610,0.00295420,0.00256000,0.00264000,203666784.00000000,1572220799999,543525.11410820,4041,115513944.00000000,309003.88932960,0,2019-10-27,2019-10-27 23:59:59.999
1572220800000,0.00264000,0.00275000,0.00262340,0.00262650,179647401.00000000,1572307199999,479667.37732590,2826,94978753.00000000,254014.33735750,0,2019-10-28,2019-10-28 23:59:59.999
1572307200000,0.00263790,0.00269520,0.00261500,0.00262500,136659517.00000000,1572393599999,363775.99541900,2059,69688058.00000000,185389.06981400,0,2019-10-29,2019-10-29 23:59:59.999
1572393600000,0.00262500,0.00266490,0.00255840,0.00259360,202095484.00000000,1572479999999,527918.33319540,3272,94321204.00000000,246602.21960470,0,2019-10-30,2019-10-30 23:59:59.999
1572480000000,0.00258910,0.00263570,0.00254730,0.00258440,93293235.00000000,1572566399999,241478.35083900,1735,54248983.00000000,140378.35214140,0,2019-10-31,2019-10-31 23:59:59.999
1572566400000,0.00258110,0.00267500,0.00255220,0.00259320,48308176.00000000,1572652799999,124717.20674070,1051,24951607.00000000,64561.09584800,0,2019-11-01,2019-11-01 23:59:59.999
1572652800000,0.00259940,0.00261140,0.00254630,0.00257730,136199748.00000000,1572739199999,350689.02069890,1623,78567136.00000000,202405.23348170,0,2019-11-02,2019-11-02 23:59:59.999
1572739200000,0.00259660,0.00263690,0.00254270,0.00258610,94348909.00000000,1572825599999,242668.84483010,1684,48795040.00000000,125648.06679300,0,2019-11-03,2019-11-03 23:59:59.999
1572825600000,0.00258030,0.00260000,0.00253800,0.00257510,89131455.00000000,1572911999999,229169.35694590,1509,35659217.00000000,91565.63543390,0,2019-11-04,2019-11-04 23:59:59.999
1572912000000,0.00257510,0.00260450,0.00255010,0.00259270,89896615.00000000,1572998399999,232074.10594400,1408,43030737.00000000,111152.06593210,0,2019-11-05,2019-11-05 23:59:59.999
1572998400000,0.00258810,0.00261000,0.00255000,0.00259520,78525806.00000000,1573084799999,203331.17116640,1246,44387668.00000000,115093.56590260,0,2019-11-06,2019-11-06 23:59:59.999
1573084800000,0.00259420,0.00274490,0.00256940,0.00269820,389579342.00000000,1573171199999,1036428.74454750,4923,193095515.00000000,513862.75664310,0,2019-11-07,2019-11-07 23:59:59.999
1573171200000,0.00270400,0.00270960,0.00253500,0.00263810,140343464.00000000,1573257599999,369370.72421370,2342,74409167.00000000,195842.24301890,0,2019-11-08,2019-11-08 23:59:59.999
1573257600000,0.00264420,0.00273510,0.00260790,0.00271260,355378242.00000000,1573343999999,952818.47907960,4385,209633710.00000000,563235.65807840,0,2019-11-09,2019-11-09 23:59:59.999
1573344000000,0.00270780,0.00278490,0.00266470,0.00275650,305203814.00000000,1573430399999,832966.02259980,3994,181860959.00000000,496395.97049460,0,2019-11-10,2019-11-10 23:59:59.999
1573430400000,0.00276530,0.00276870,0.00264600,0.00270500,145629942.00000000,1573516799999,392033.94687690,2111,88333183.00000000,237874.38481960,0,2019-11-11,2019-11-11 23:59:59.999
1573516800000,0.00270420,0.00272440,0.00264560,0.00270780,116799812.00000000,1573603199999,315123.37439820,1946,81283184.00000000,219691.16568430,0,2019-11-12,2019-11-12 23:59:59.999
1573603200000,0.00270780,0.00270780,0.00263160,0.00268210,140516822.00000000,1573689599999,374483.91628790,1735,79228683.00000000,211207.46907830,0,2019-11-13,2019-11-13 23:59:59.999
1573689600000,0.00267510,0.00268620,0.00259910,0.00266200,99444648.00000000,1573775999999,263406.63242990,1271,65594335.00000000,174066.45534100,0,2019-11-14,2019-11-14 23:59:59.999
1573776000000,0.00266500,0.00271000,0.00257670,0.00265800,196496664.00000000,1573862399999,518197.38722710,2630,104953111.00000000,277505.10192130,0,2019-11-15,2019-11-15 23:59:59.999
1573862400000,0.00265040,0.00270000,0.00261640,0.00266060,184465713.00000000,1573948799999,487015.19830860,1694,105085882.00000000,277551.01104470,0,2019-11-16,2019-11-16 23:59:59.999
1573948800000,0.00265170,0.00266190,0.00258930,0.00262580,81768446.00000000,1574035199999,214911.49535110,2029,37051167.00000000,97484.65614320,0,2019-11-17,2019-11-17 23:59:59.999
1574035200000,0.00261590,0.00262990,0.00250020,0.00253950,72203979.00000000,1574121599999,184812.43871320,1361,35892322.00000000,91990.36745490,0,2019-11-18,2019-11-18 23:59:59.999
1574121600000,0.00253510,0.00253810,0.00248830,0.00251650,60867796.00000000,1574207999999,152878.52077490,1082,30342346.00000000,76223.07265600,0,2019-11-19,2019-11-19 23:59:59.999
1574208000000,0.00252060,0.00259000,0.00250650,0.00252250,51326120.00000000,1574294399999,129835.19235740,929,28095699.00000000,71119.68821300,0,2019-11-20,2019-11-20 23:59:59.999
1574294400000,0.00252090,0.00253020,0.00230000,0.00240630,139844659.00000000,1574380799999,338044.36201590,2384,73153388.00000000,177083.86154670,0,2019-11-21,2019-11-21 23:59:59.999
1574380800000,0.00240590,0.00244260,0.00217330,0.00235240,165526781.00000000,1574467199999,381962.22100900,2959,85272043.00000000,197006.57318590,0,2019-11-22,2019-11-22 23:59:59.999
1574467200000,0.00235280,0.00240000,0.00226120,0.00239940,172491867.00000000,1574553599999,404092.18912810,2226,88120560.00000000,204546.72822630,0,2019-11-23,2019-11-23 23:59:59.999
1574553600000,0.00238920,0.00238920,0.00223230,0.00223300,116673800.00000000,1574639999999,268427.13440490,2037,57022563.00000000,131083.27196030,0,2019-11-24,2019-11-24 23:59:59.999
1574640000000,0.00223680,0.00232060,0.00208100,0.00225390,150700812.00000000,1574726399999,331627.60408530,2489,74694518.00000000,164819.79277030,0,2019-11-25,2019-11-25 23:59:59.999
1574726400000,0.00224740,0.00231280,0.00222670,0.00226630,46658505.00000000,1574812799999,105199.07605220,962,25271979.00000000,56973.19948940,0,2019-11-26,2019-11-26 23:59:59.999
1574812800000,0.00226630,0.00236000,0.00218660,0.00232080,98287760.00000000,1574899199999,224926.86548700,1829,60589567.00000000,138862.10766350,0,2019-11-27,2019-11-27 23:59:59.999
1574899200000,0.00231530,0.00236000,0.00226140,0.00227200,98429449.00000000,1574985599999,227564.26697800,1370,49694451.00000000,115032.34948220,0,2019-11-28,2019-11-28 23:59:59.999
1574985600000,0.00227350,0.00237330,0.00227220,0.00235930,98438924.00000000,1575071999999,228861.47075330,1704,59957327.00000000,139436.53139130,0,2019-11-29,2019-11-29 23:59:59.999
